순번,생산라인코드,생산라인명,생산일자,발생시간,종료시간,오류조치시간,비가동코드,Error_Message,품목코드,품목명,오류발생작업장명
20,C007,프리머 #1,2011-03-01,14:35,15:10,35,W003451,냉각,26B03004,마요네즈-업소용18kg(재),쿠킹실
3,D004,PET병,2011-03-01,8:57,10:30,93,W005432,제품 넘어짐 청소,13A00422,멸치볶음소스300g,충전실
6,P004,PET#1,2011-03-01,10:14,10:23,9,W007211,휴식,13A00422,멸치볶음소스300g,포장실
29,P004,PET#1,2011-03-02,3:13,3:43,30,W007211,휴식,13D02142,참깨흑임자드레싱100g,포장실
13,D006,튜브,2011-03-02,15:25,15:54,29,W005711,대기,13R11005,이마트스테이크소스600g,충전실
19,D006,튜브,2011-03-02,18:22,18:38,16,W005711,대기,13R11005,이마트스테이크소스600g,충전실
9,D013,마요네즈 수동,2011-03-02,12:04,13:08,64,W005721,원료,16B06001,골드마요네즈(업소용)10kg,충전실
12,D004,PET병,2011-03-03,18:13,18:17,4,W0056E1,노즐,13D02139,크리미시저드레싱,충전실
5,C008,프리머 #2,2011-03-04,11:45,13:15,90,W003452,충전,26B06054,디프라이스카레마요네즈(재),쿠킹실
13,C008,프리머 #2,2011-03-04,18:30,19:05,35,W003452,충전,26B06054,디프라이스카레마요네즈(재),쿠킹실
13,D001,3K 캔,2011-03-05,18:42,19:26,44,W005711,대기,13P02106,미스터피자피자소스엠피,충전실
6,C002,쿠커 #2,2011-03-07,10:40,13:32,172,W003633,기타,23U01120,미스터피자레몬에이드(재),쿠킹실
8,D005,3.2마요,2011-03-08,15:25,15:30,5,W0056E2,시밍,16B06008,이츠웰골드마요네즈3.2kg,충전실
6,C006,2동 쿠커 #3,2011-03-09,8:50,9:06,16,W003313,야채실,26A01002,감자샐러드-P(재),쿠킹실
2,D004,PET병,2011-03-09,6:34,6:48,14,W0056E1,노즐,13D02140,세서미오리엔탈드레싱,충전실
5,P004,PET#1,2011-03-10,17:30,18:03,33,W007212,식사,13R10009,베스트셀렉트머스타드520g,포장실
7,P002,파우치포장(#2),2011-03-14,10:40,11:40,60,W007612,컨베이어,13P01020,미스터피자살사소스엠피,포장실
7,C001,쿠커 #1,2011-03-15,14:10,14:28,18,W003441,규격보정,23P02106,미스터피자피자소스엠피(재),쿠킹실
8,C007,프리머 #1,2011-03-16,16:31,17:12,41,W003451,냉각,23D01170,KFC마요드레싱3kg(재),쿠킹실
14,C005,2동 쿠커 #4,2011-03-17,20:30,20:45,15,W003452,충전,26A02005,단호박샐러드바145g(재),쿠킹실
13,D007,2동 6열컵실러#1,2011-03-17,20:50,21:18,28,W005463,감도,16A02005,단호박샐러드바145g,충전실
3,P004,PET#1,2011-03-17,9:36,9:43,7,W0076A2,구동부,13R02056,이마트베스트콜슬로우드레싱,포장실
12,C001,쿠커 #1,2011-03-21,16:55,17:04,9,W003452,충전,23P01020,미스터피자살사소스엠피(재),쿠킹실
2,P004,PET#1,2011-03-21,9:48,11:15,87,W0076A2,구동부,13D02080,참깨흑임자드레싱,포장실
13,P004,PET#1,2011-03-21,17:33,18:07,34,W007212,식사,13D02080,참깨흑임자드레싱,포장실
23,D004,PET병,2011-03-23,1:40,4:38,178,W005624,실바,13D02156,오리엔탈드레싱225g,충전실
12,D005,3.2마요,2011-03-23,14:16,16:20,124,W005634,실바,16B06008,이츠웰골드마요네즈3.2kg,충전실
1,C002,쿠커 #2,2011-03-24,9:25,10:50,85,W003312,전처리,23K01272,명인돈까스소스(재),쿠킹실
3,C003,쿠커 #3,2011-03-24,11:25,11:29,4,W003452,충전,23D01157,이마트1000아일랜드드레싱540g(재),쿠킹실
10,C007,프리머 #1,2011-04-14,9:45,10:04,19,W003452,충전,26B04008,소후레쉬마요네즈골드3.2kg(재),쿠킹실
12,C007,프리머 #1,2011-04-14,15:56,17:00,64,W003451,냉각,23V00005,단호박베이스-2(재),쿠킹실
18,D004,PET병,2011-04-19,6:20,6:29,9,W0056B4,위치조정,13D02080,참깨흑임자드레싱,충전실
12,D004,PET병,2011-04-21,22:00,22:23,23,W005211,교육,13R02053,이마트베스트허브칠리소스,충전실
